source_file,service_name,reviewer,rating,time_ago,review_text,seller_reply
new-links-all-month.txt,New Links All Month,autogleamdetail,5,2 years ago,Hey Barry just confirming what keywords we are targeting. When should I see improved ranking?,
new-links-all-month.txt,New Links All Month,gustavtk,5,2 years ago,Excellent delivery as always,
new-links-all-month.txt,New Links All Month,JulioHenrick,5,2 years ago,,
new-links-all-month.txt,New Links All Month,pagesovernight,5,2 years ago,"Hi Barry, I manage multiple websites. Hoping we can work together. In the description it states that the $159 package is guaranteed rankings and that this is the same but every month. Where am I currently ranked now? Has it improved? Do you track this as stated? Is this a monthly service or has it been completed? I was about to add service for one of my clients but figured I would check on this first and it is not what I expected. Please advise. Did not get what I ordered.",
new-links-all-month.txt,New Links All Month,JulioHenrick,5,2 years ago,,
new-links-all-month.txt,New Links All Month,mattdoubleyoo,5,2 years ago,hello! What are the next steps now that the first month is delivered? Thanks!,
nitrous-seo-addon.txt,Nitrous SEO Addon,Thantheman1790,5,2 months ago,Barry always delivers. Thank you.,Thank you! Great working with you
nitrous-seo-addon.txt,Nitrous SEO Addon,ecstacy,5,2 years ago,Awesome Job on this as well,
nitrous-seo-addon.txt,Nitrous SEO Addon,gustavtk,5,2 years ago,Top-notch SEO guy,
nitrous-seo-addon.txt,Nitrous SEO Addon,rademenes5000,5,2 years ago,"Thank you, looking forward for good results",
nitrous-seo-addon.txt,Nitrous SEO Addon,gordonlee,5,2 years ago,Thanks for the awesome service and good communication throughout project. Rankings moving... upwards!,Excellent client to work with! Thank you very much. Was a pleasure!
nitrous-seo-addon.txt,Nitrous SEO Addon,jasuparri,5,2 years ago,"Great job, a great professional, congratulations",
nitrous-seo-addon.txt,Nitrous SEO Addon,wilson061507,5,3 years ago,,
nitrous-seo-addon.txt,Nitrous SEO Addon,sajithtm,5,3 years ago,"Hey Barry, as always, great job. Appreciate it! Hoping to see some great results soon. We'll work together again :)",
nitrous-seo-addon.txt,Nitrous SEO Addon,mattdoubleyoo,5,3 years ago,thanks,Thank you. Have a great day
nitrous-seo-addon.txt,Nitrous SEO Addon,United1,5,3 years ago,Pleasure to work with. Thank you Barry.,
seo-perfect-storm.txt,SEO Perfect Storm,almuzayanglobal,5,1 year ago,Barry is honest seller. your money in safe place,
seo-perfect-storm.txt,SEO Perfect Storm,Karaze78,5,1 year ago,"Brian has a neat presentation but as he mentions in his video, we need time to see if this works. 5 stars on presentation though.",
seo-perfect-storm.txt,SEO Perfect Storm,dannycsz,5,2 years ago,excellent work by Barry team once again. Highly recomment.,
seo-perfect-storm.txt,SEO Perfect Storm,mattdoubleyoo,5,2 years ago,thanks!,
seo-perfect-storm.txt,SEO Perfect Storm,autogleamdetail,5,2 years ago,Hey Barry just confirming what keywords we are targeting. When should I see improved ranking?,
seo-perfect-storm.txt,SEO Perfect Storm,gustavtk,5,2 years ago,Excellent delivery as always,
seo-perfect-storm.txt,SEO Perfect Storm,JulioHenrick,5,2 years ago,,
seo-perfect-storm.txt,SEO Perfect Storm,pagesovernight,5,2 years ago,"Hi Barry, I manage multiple websites. Hoping we can work together. In the description it states that the $159 package is guaranteed rankings and that this is the same but every month. Where am I currently ranked now? Has it improved? Do you track this as stated? Is this a monthly service or has it been completed? I was about to add service for one of my clients but figured I would check on this first and it is not what I expected. Please advise. Did not get what I ordered.",
seo-perfect-storm.txt,SEO Perfect Storm,JulioHenrick,5,2 years ago,,
seo-perfect-storm.txt,SEO Perfect Storm,mattdoubleyoo,5,2 years ago,hello! What are the next steps now that the first month is delivered? Thanks!,
seo-quick-wins.txt,Easy SEO Quick Wins,RTItraining,5,2 months ago,Barry is the man. Excellent service and explanations. Wouldn't shop anywhere else.,No probs. I will send you a video explanation on this asap. Thanks again!
the-pbn-network-whip.txt,The PBN Network Whip,almuzayanglobal,5,1 year ago,Barry is honest seller. your money in safe place,
the-pbn-network-whip.txt,The PBN Network Whip,Karaze78,5,1 year ago,"Brian has a neat presentation but as he mentions in his video, we need time to see if this works. 5 stars on presentation though.",
the-pbn-network-whip.txt,The PBN Network Whip,dannycsz,5,2 years ago,excellent work by Barry team once again. Highly recomment.,
the-pbn-network-whip.txt,The PBN Network Whip,mattdoubleyoo,5,2 years ago,thanks!,
the-pbn-network-whip.txt,The PBN Network Whip,autogleamdetail,5,2 years ago,Hey Barry just confirming what keywords we are targeting. When should I see improved ranking?,
the-pbn-network-whip.txt,The PBN Network Whip,gustavtk,5,2 years ago,Excellent delivery as always,
the-pbn-network-whip.txt,The PBN Network Whip,JulioHenrick,5,2 years ago,,
the-pbn-network-whip.txt,The PBN Network Whip,pagesovernight,5,2 years ago,"Hi Barry, I manage multiple websites. Hoping we can work together. In the description it states that the $159 package is guaranteed rankings and that this is the same but every month. Where am I currently ranked now? Has it improved? Do you track this as stated? Is this a monthly service or has it been completed? I was about to add service for one of my clients but figured I would check on this first and it is not what I expected. Please advise. Did not get what I ordered.",
the-pbn-network-whip.txt,The PBN Network Whip,JulioHenrick,5,2 years ago,,
the-pbn-network-whip.txt,The PBN Network Whip,mattdoubleyoo,5,2 years ago,hello! What are the next steps now that the first month is delivered? Thanks!,
